Device_type,IP_Address,username,hostname
cisco_nxos,192.168.1.20,admin,Site1-Leaf1
cisco_nxos,192.168.1.21,admin,Site1-Leaf2
cisco_nxos,192.168.1.23,admin,Site2-Leaf1
cisco_nxos,192.168.1.24,admin,Site2-Leaf2

